CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
001	France	France	France		
003	Netherlands	Netherlands	Netherlands		
004	Germany	Germany	Germany		
005	Italy	Italy	Italy		
006	United Kingdom	United Kingdom	United Kingdom		
007	Ireland	Ireland	Ireland		
008	Denmark	Denmark	Denmark		
009	Greece	Greece	Greece		
010	Portugal	Portugal	Portugal		
011	Spain	Spain	Spain		
017	Belgium	Belgium	Belgium		
018	Luxembourg	Luxembourg	Luxembourg		
024	Iceland	Iceland	Iceland		
028	Norway	Norway	Norway		
030	Sweden	Sweden	Sweden		
032	Finland	Finland	Finland		
038	Austria	Austria	Austria		
039	Switzerland	Switzerland	Switzerland		
046	Malta	Malta	Malta		
052	Türkiye	Türkiye	Türkiye		
053	Estonia	Estonia	Estonia		
054	Latvia	Latvia	Latvia		
055	Lithuania	Lithuania	Lithuania		
060	Poland	Poland	Poland		
061	Czechia	Czechia	Czechia		
063	Slovakia	Slovakia	Slovakia		
064	Hungary	Hungary	Hungary		
066	Romania	Romania	Romania		
068	Bulgaria	Bulgaria	Bulgaria		
070	Albania	Albania	Albania		
091	Slovenia	Slovenia	Slovenia		
092	Croatia	Croatia	Croatia		
093	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina		
096	North Macedonia	North Macedonia	North Macedonia		
097	Montenegro	Montenegro	Montenegro		
098	Serbia	Serbia	Serbia		
1110	EU15TOTALS	EU15TOTALS	EU15TOTALS		
1111	EU25TOTALS	EU25TOTALS	EU25TOTALS		
1112	EU27TOTALS_2007	EU27TOTALS_2007	EU27TOTALS_2007		
2027	EU27TOTALS_2020	EU27TOTALS_2020	EU27TOTALS_2020		
2028	EUROPEAN UNION (28)	EUROPEAN UNION (28)	EUROPEAN UNION (28)		
5110	European Union	European Union	European Union		
600	Cyprus	Cyprus	Cyprus		
